車型,品番,品名,產品圖片,原料名稱,標準重量(g),重量上限(g),重量下限(g),標準長度(mm),長度上限(mm),長度下限(mm),重點管制1,重點管制2,重點管制3,異常履歷寫真1,異常履歷寫真2,異常履歷寫真3
841W,G92D1-VU010,"DUCT, HV BATTERY INTAKE",G92D1-VU010_main.jpg,FTP20DY-202B,93,99,87,,,,五處嵌合點需用蠟筆點檢,末端缺料處,需手動定位後啟動自動壓合,G92D1-VU010_defect.jpg,,
841W,62511-VU010,右 DECK (後右側背板),62511-vu010_main.jpg,FTP20DY-202B,2430,2480,2380,,,,大型件禁止表面發白、皮紋拉傷,,,,,
841W,62512-VU010,左 DECK (後左側背板),62512-vu010_main.jpg,FTP20DY-202B,1780,2530,2430,,,,大型件禁止表面發白、皮紋拉傷,,,,,
841W,67750-VU010,尾門飾板,67750-vu010_main.jpg,CN-BP7SYTW,,,,,,,確認 4 處熔接點無脫落,,,,,
841W,67761-VU010,,67761-VU010_main.jpg,,,,,,,,,,,,,
841W,69321-VU010,,69321-VU010_main.jpg,,,,,,,,,,,,,
841W,81218-X1C00,,81218-X1C00_main.jpg,,,,,,,,,,,,,
841W,55303-VU010,IP下段,55303-VU010_main.jpg,APIP5G-202B,1780,1820,1740,,,,,,,,,
841W,55514-VU010,安全氣囊,55514-VU010_main.jpg,TT935N1J,339,342,336,,,,,,,,,
841W,62225/26-VU010,A柱下飾板右(左),62225(6)-VU010_main.jpg,APIP5G-202B,130/130,138/138,122/122,,,,,,,,,
841W,62410/20-VU010,B柱上飾板右(左),62410(20)-VU010_main.jpg,APIP5G-202B,283/283,299/299,267/267,,,,,,,,,
841W,624511/12-VU010,天井側邊飾板右(左),62451(2)-VU010_main.jpg,CN-BP1TW-202B,154/154,160/160,148/148,,,,,,,,,
841W,67917/18-VU010,,67917(8)-VU010_main.jpg,FTP20DY-202B,655/655,665/665,645/645,,,,,,,,,
841W,71139-VU010,,71139-VU010_main.jpg,FTP20DY-202B,548,558,538,,,,,,,,,
841W,71149-VU010,,71149-VU010_main.jpg,FTP20DY-202B,626,641,611,,,,,,,,,
841W,71861/62-VU010,仰臥器外蓋,71861(2)-VU010_main.jpg,FTP20PDY-202B,310/345,316/351,304/339,,,,,,,,,
841W,76871-VU010,尾翼上蓋,76871-VU010_main.jpg,PX18-X02,1190,1200,1180,,,,,,,,,
841W,76876-VU010,尾翼下蓋,76876-VU010_main.jpg,TA42C-X01,1310,1320,1300,,,,,,,,,
841W,76911/12-VU010,,76911(2)-VU010_main.jpg,,,,,,,,,,,,,
841W,76917/18-VU010,,76917(8)-VU010_main.jpg,,,,,,,,,,,,,
841W,79236/46-VU010,,79236(46)-VU020(010)_main.jpg,FTP20DY,202/202,207/207,197/197,,,,,,,,,
